" Celle verdi indicano viaggi già effettuati, celle rosse i pagamenti ancora da effettuare, celle arancioni viaggi confermati ma ancora effettuati",,,,, Prenotazioni PROGRAMMATE,,,,, PARENTE VIAGGI,,
,,,,, Importo già saldato,, Da saldare, Totale programmato,,,,
,,,,,"€ 264.242,82",,"€ 6.146,03","€ 270.388,85",,,,
,Data partenza,Data rientro,Evento,,Capienza bus,numero autisti, Costo Noleggio, Costo ZTL/parcheggio,Fattura numero:, Pagata:, Data pagamento, Note
1,30/06/2024,, Roma - concerto Calcutta,,,," € 1.140,00 ",,264," € 1.140,00 ",,
2,07/07/2024,, Mirabilandia + Ticket,,,," € 2.345,00 ",,275," € 2.345,00 ",,
3,12/07/2024,, TOUR SALENTO,,,," € 1.700,00 ",,287," € 1.700,00 ",,
4,12/07/2024,, ticket mirabilandia,,,," € 916,00 ",,282," € 916,00 ",,
5,21/07/2024,, Mirabilandia ,,,," € 1.200,00 ",,292," € 1.200,00 ",,
6,23/07/2024,, 92 ticket Mirabilandia,,,," € 2.106,80 ",,291," € 2.106,80 ",,
7,23/07/2024,, Milano - concerto Taylor S,,,," € 2.100,00 ",,310," € 2.100,00 ",,
8,29/07/2024,, 20 ticket Mirabilandia,,,," € 458,00 ",,305," € 458,00 ",,
9,30/07/2024,, Ancona,,,," € 700,00 ",,315," € 700,00 ",,
10,03/08/2024,, Mirabilandia + Ticket,,,," € 3.421,30 ",,324," € 3.421,30 ",,
11,04/08/2024,, Costiera Amalfitana,,,," € 1.600,00 ",,325," € 1.600,00 ",,
12,10/08/2024,, VIESTE,,,," € 1.050,00 ",,336," € 1.050,00 ",,
13,10/08/2024,, CAPRI,,,," € 1.100,00 ",,337," € 1.100,00 ",,
14,15/08/2024,, Mirabilandia + Ticket,,,," € 1.887,00 ",,343," € 1.887,00 ",,
15,15/08/2024,, Rocca Calascio,,,," € 750,00 ",,344," € 750,00 ",,
16,17/08/2024,, Ischia,,,," € 1.150,00 ",,345," € 1.150,00 ",,
17,22/08/2024,, 150 tkt Mirabilandia,,,," € 3.435,00 ",,348," € 3.435,00 ",,
18,03/09/2024,, Roma - studi Elios,,,," € 990,00 ",,359," € 990,00 ",,
19,08/09/2024,, Roma RAINBOW MAGICLAND,,,," € 990,00 ",,367," € 990,00 ",,
20,18/09/2024,, 46 tkt Mirabilandia,,,," € 1.053,40 ",,380," € 1.053,40 ",,
21,22/09/2024,, Arpino e Isola Liri,,,," € 950,00 ",,388," € 950,00 ",,
22,28/09/24,29/09/24, Ferrara - Bologna,,,," € 2.400,00 ",,396," € 2.400,00 ",," PAGAMENTO IN DUE BONIFICO, PER ERRORE FRA"
23,29/09/2024,, San Giovanni R.,,,," € 850,00 "," € 25,00 ",400," € 875,00 ",,
24,05/10/2024,, Romics,,,," € 900,00 ",,409," € 900,00 ",,
25,05/10/2024,, Assisi,,,," € 1.050,00 "," € 99,00 ",410," € 1.149,00 ",,
26,06/10/2024,, Napoli,,,," € 1.050,00 "," € 290,00 ",412," € 1.340,00 ",,
27,06/10/2024,, Romics,,,," € 900,00 ",,414," € 900,00 ",,
28,09/10/24,16/10/2024, Ancona - Grp Picelli,,,," € 1.600,00 ",,431," € 1.600,00 ",25/10/2024,
29,10/10/2024,, Amici - Roma,,,," € 500,00 ",,421," € 500,00 ",10/10/2024, Pagato contanti
30,12/10/2024,, Napoli,,,," € 1.100,00 "," € 50,00 ",425," € 1.150,00 ",15/10/2024,
31,13/10/2024,, Bari e Barletta,,,," € 1.250,00 ",,429," € 1.250,00 ",25/10/2024,
32,20/10/2024,, Napoli,,,," € 1.100,00 "," € 50,00 ",439," € 1.150,00 ",25/10/2024,
33,20/10/2024,, Città di Castello,,,," € 1.300,00 ",,440," € 1.300,00 ",25/10/2024,
34,21/10/2024,, Amici - Roma,,,," € 750,00 ",,442," € 750,00 ",28/10/2024,
35,24/10/2024,, Studi Elios - Roma,,,," € 750,00 ",,444," € 750,00 ",28/10/2024,
36,26/10/2024,, Firenze - Villa Costanza,,,," € 2.000,00 "," € 50,00 ",448," € 2.050,00 ",28/10/2024,
37,29/10/2024,, Studi Elios - Roma,,,," € 990,00 ",,456," € 990,00 ",04/11/2024,
38,30/10/2024,, ticket mirabilandia,,106,," € 2.427,40 ",,457," € 2.427,40 ",04/11/2024, ticket 31/10/24
39,31/10/2024,, Mirabilandia,,,," € 2.400,00 ",,463," € 2.400,00 ",04/11/2024,
40,01/11/2024,, Mirabilandia,,,," € 1.200,00 ",,465," € 1.200,00 ",04/11/2024,
41,01/11/2024,, ticket mirabilandia,,84,," € 1.923,60 ",,466," € 1.923,60 ",04/11/2024, ticket 01/11/24
42,01/11/24,03/11/2024, Lucca Comics,,,," € 2.200,00 "," € 488,00 ",470," € 2.688,00 ",04/11/2024,
43,03/11/2024,, Roma - Botero,,,," € 990,00 ",,471," € 990,00 ",04/11/2024,
44,03/11/2024,, Napoli,,,," € 1.050,00 "," € 122,00 ",472," € 1.172,00 ",04/11/2024,
45,09/11/2024,, Napoli,,,," € 1.050,00 "," € 122,00 ",475," € 1.172,00 ",15/11/2024,
46,10/11/2024,, Roma - EUR concerto,,,," € 990,00 ",,482," € 990,00 ",15/11/2024,
47,17/11/2024,, Perugia,,,," € 2.000,00 ",,489," € 2.000,00 ",21/11/2024,
48,23/11/2024,, Napoli,,,," € 2.100,00 ",,500," € 2.100,00 ",27/11/2024,
49,23/11/2024,, Viterbo e Vetralla,,,," € 1.550,00 "," € 50,00 ",501," € 1.600,00 ",27/11/2024,
50,24/11/2024,, Gaeta e Sperlonga,,,," € 1.400,00 ",,506," € 1.400,00 ",27/11/2024,
51,27/11/2024,, Studi Elios - Roma,,,," € 990,00 ",,510," € 990,00 ",06/12/2024,
52,30/11/2024,, San Marino,,,," € 1.202,06 "," € 25,00 ",515," € 1.227,06 ",06/12/2024,
53,30/11/2024,, Napoli,,,," € 1.050,00 ",,517," € 1.050,00 ",30/11/2024, PAGATO CONTANTI
54,01/12/2024,, Napoli,,,," € 2.100,00 ",,516," € 2.100,00 ",06/12/2024,
55,01/12/2024,, Park Napoli 01/12,,,,," € 244,00 ",518," € 244,00 ",06/12/2024 e 16/12/2024,
56,01/12/2024,,  Park Napoli 01/12	,, pagato 2 volte,," € -244,00 ",,,,,
57,07/12/2024,, Assisi e Gubbio,,,," € 1.350,00 "," € 52,00 ",526," € 1.402,00 ",16/12/2024,
58,07/12/2024,, Alberobello e Locorotondo,,,," € 1.650,00 "," € 200,00 ",527," € 1.850,00 ",16/12/2024,
59,08/12/2024,, Napoli,,,," € 1.200,00 "," € 122,00 ",529," € 1.322,00 ",16/12/2024,
60,14/12/2024,, Arenzo e Firenze,,,," € 1.850,00 "," € 395,00 ",534," € 2.001,00 ",27/12/20024, bon ordinario
61,15/12/2024,, Matera,,,," € 1.600,00 ",,535," € 1.600,00 ",27/12/20024, bon ordinario
62,21/12/2024,, Napoli,,,," € 1.050,00 "," € 122,00 ",544," € 1.172,00 ",27/12/20024, bon ordinario
63,21/12/2024,, Roma - concerto Nannini,,,," € 990,00 ",,545," € 990,00 ",27/12/20024,
64,22/12/2024,, Roma - Botero,,,," € 1.200,00 "," € 150,00 ",546," € 1.350,00 ",27/12/20024, bon ordinario
65,27/12/2024,02/01/25, Porto di Ancona x Padre Angelo,,,," € 1.400,00 ",,02," € 1.400,00 ",08/01/2025,
66,28/12/2024,, San Marino,,,," € 1.202,06 "," € 25,00 ",549," € 1.227,06 ",08/01/2025,
67,31/12/2024,, Cinecittà World,,,," € 1.400,00 ",,03," € 1.400,00 ",08/01/2025,
68,04/01/2025,, Napoli + Napoli con Giorgia,,,," € 1.050,00 "," € 122,00 ",05," € 1.172,00 ",08/01/2025,
69,05/01/2025,, Viaggio a Firenze con Guida,,,," € 2.000,00 "," € 50,00 ",06," € 2.050,00 ",11/01/2025, bon ordinario
70,05/01/2025,, Pe-Torre Cerrano,,,," € 350,00 ",,07," € 350,00 ",08/01/2025,
71,09/01/2025,, Partecipa come pubblico ad AMICI,,,," € 990,00 ",,14," € 990,00 ",20/01/2025,
72,12/01/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",20," € 1.172,00 ",30/01/2025,
73,24/01/2025,, Partecipa come pubblico ad AMICI,,,," € 990,00 ",,32," € 990,00 ",30/01/2025,
74,27/01/2025,, Avanti Un Altro - Ultime registrazioni,,,," € 990,00 ",,34," € 990,00 ",04/02/2025,
75,01/02/2025,, Viaggio a Napoli in Giornata,,,," € 1.050,00 "," € 122,00 ",44," € 1.172,00 ",18/02/2025,
76,10/02/2025,, Studi Elios - Roma C'è Posta per te,,,1," € 945,00 ",,54," € 945,00 ",07/03/2025," rinviato il 07 marzo per problemi con Hype, inviati dalla deuteske bank"
77,14/02/2025,16/02/2025, Verona e Carnevali di Venezia e Cento,,,," € 2.400,00 "," € 150,00 ",61," € 2.550,00 ",17/03/2025," Bonifico non arrivato, procediamo a reinviare, appena ho conferma inseriamo l'importo "
78,15/02/2025,, Viaggio a Napoli in Giornata con Guida,,,1," € 1.050,00 "," € 122,00 ",62," € 1.172,00 ",25/02/2025,
79,15/02/2025,, VAN SCICLUB,,,," € 200,00 ",,," € 200,00 ",08/03/2025, CONTANTI SUL BUS TANIA
80,16/02/2025,, Viaggio alla Mostra di Munch a Roma,,,1," € 1.050,00 ",,67," € 1.050,00 ",25/02/2025,
