Data di transazione;Data valuta;Descrizione;Importo;Saldo
Saldo portato a nuovo;;;;"61,79"
01/11/2025;01/11/2025;Liquidazione vendite con carte;60;"121,79"
01/11/2025;01/11/2025;Commissione liquidazione vendite;"-0,72";"121,07"
01/11/2025;01/11/2025;Liquidazione vendite con carte;84;"205,07"
01/11/2025;01/11/2025;Commissione liquidazione vendite;"-0,95";"204,12"
01/11/2025;01/11/2025;Viva Cashback;"1,12";"205,24"
01/11/2025;01/11/2025;Liquidazione vendite con carte;320;"525,24"
01/11/2025;01/11/2025;Commissione liquidazione vendite;"-3,34";"521,9"
02/11/2025;02/11/2025;Liquidazione vendite con carte;32;"553,9"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,45";"553,45"
02/11/2025;02/11/2025;Liquidazione vendite con carte;34;"587,45"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,47";"586,98"
02/11/2025;02/11/2025;Liquidazione vendite con carte;42;"628,98"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,55";"628,43"
02/11/2025;02/11/2025;Liquidazione vendite con carte;63;"691,43"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,75";"690,68"
02/11/2025;02/11/2025;Liquidazione vendite con carte;20;"710,68"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,34";"710,34"
02/11/2025;02/11/2025;Liquidazione vendite con carte;20;"730,34"
02/11/2025;02/11/2025;Commissione liquidazione vendite;"-0,34";730
03/11/2025;03/11/2025;Liquidazione vendite con carte;144;874
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-1,52";"872,48"
03/11/2025;03/11/2025;Liquidazione vendite con carte;20;"892,48"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-0,34";"892,14"
03/11/2025;03/11/2025;Liquidazione vendite con carte;20;"912,14"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-0,75";"911,39"
03/11/2025;03/11/2025;Liquidazione vendite con carte;54;"965,39"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-0,85";"964,54"
03/11/2025;03/11/2025;Liquidazione vendite con carte;145;"1.109,54"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-1,67";"1.107,87"
03/11/2025;03/11/2025;Liquidazione vendite con carte;111;"1.218,87"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-1,67";"1.217,20"
03/11/2025;03/11/2025;Liquidazione vendite con carte;34;"1.251,20"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-0,47";"1.250,73"
03/11/2025;03/11/2025;Liquidazione vendite con carte;17;"1.267,73"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-0,31";"1.267,42"
03/11/2025;03/11/2025;Liquidazione vendite con carte;84;"1.351,42"
03/11/2025;03/11/2025;Commissione liquidazione vendite;"-1,1";"1.350,32"
03/11/2025;03/11/2025;Liquidazione vendite con carte;40;"1.390,32"
